"betas","ses"
-0.27374744792523,-0.13777715103134
0.0970231112040724,0.165013615811069
-0.363668671599864,-0.0580506790122804
-0.631197296988134,0.108462786953777
-0.947813236238963,-0.297219909071652
-0.531344815236179,0.329341714894682
-0.118575651948207,0.0897655350632671
0.873928081752801,-0.0444458510440892
-0.0427036348391731,0.103144236395389
-0.0265437884604082,-0.23296502988667
-1.05469975844145,-0.000822128845190147
-1.3683044000994,-0.503724348339514
0.449724061797271,-0.285497002776157
1.52496748776283,0.480758803031964
1.79079729316475,0.140300974736658
0.0737903621103239,-0.306185285260035
-1.7638451020251,-0.387613232274432
-0.216641089820444,-0.0832566342486095
0.867394682683748,-0.25553931871241
0.670624576930005,-0.0551517742155055
-0.421457136696685,0.391175998308173
-0.927544858246,0.101486980813769
0.587893982941533,-0.0577443104914049
0.703358130911195,-0.0906463024113782
-0.350695467783542,0.245037875875699
-0.527779672498255,0.0397902974344617
-0.455464601016013,-0.315200635574389
-0.523172593503289,-0.473893546715749
0.0349682708554737,0.189876979212918
-1.61027641007819,0.260676999162977
