"","trueOR","pvalueFix","pvalueRan","maxABF","mcmcABF","shotgunABF"
"1",0.5,0,0,1617.21641253841,849.844356465543,1617.21641253841
"2",0.6,0,1.26765774760191e-240,685.101702889256,359.085021320672,684.650881602756
"3",0.7,3.00348776290936e-188,3.92718373135104e-188,398.450593408821,209.755063317553,398.450593408821
"4",0.8,3.401467430655e-86,5.26758901163582e-60,169.195982311179,90.6183012555084,169.192855460412
"5",0.86,2.47527435387008e-32,1.65721711668276e-22,53.7276851943744,26.0468255585587,51.9520200063792
"6",0.88,8.57812145709423e-29,8.82366906195683e-29,37.2308947979001,17.0840183224019,35.4172073656787
"7",0.9,1.88680093528868e-17,1.16301688357206e-08,28.8375458707727,13.9875418575819,27.7593686238815
"8",0.92,1.35666307200506e-11,8.76534154270473e-09,16.5891636856455,5.33644886834181,16.3275979734773
"9",0.94,9.92374672643695e-06,7.94861825438648e-05,5.92838018067026,1.54668240122147,5.33554216260323
"10",0.95,2.59194170579222e-06,6.20295852647353e-05,7.73041318977772,1.86472050908644,6.95737187079995
"11",0.96,7.58608473881769e-05,8.78905695003866e-05,1.65082550344342,1e-20,0.990495302066051
"12",0.97,0.0285785343514789,0.028621781868052,1.8477261616451,1e-20,0.923863080822548
"13",0.98,0.0605013542303308,0.0628482243853407,2.14937689430235,0.0800684262748246,1.50456382601165
"14",0.99,0.552034050672542,0.551770229465154,1,1e-20,0.0765545197930831
"15",1,0.797627319646144,0.797419841914077,1,1e-20,0.105902572014986
"16",1.01,0.681868810454482,0.68256068670378,1.61985382634604,1e-20,0.971912295807625
"17",1.02,0.642352175855098,0.642267370810383,1,1e-20,0.0056042130637171
"18",1.03,0.00142941293901378,0.00143540416097932,1.57656992811007,0.0456979445883339,0.788284964055036
"19",1.04,0.00380336845034893,0.0058238516426621,1,1e-20,0.253048117804124
"20",1.05,0.00817059252332861,0.0111426244168102,2.72642717362585,0.201572803007335,2.18114173890068
"21",1.06,4.96853159181827e-09,5.01240979714141e-09,5.22330065419285,1.27587117806637,4.17864052335428
"22",1.08,4.79424719892695e-12,4.84605158516637e-12,12.8793569089807,3.34951514380371,12.7696822680654
"23",1.1,4.92470963024908e-27,5.88820948236458e-17,43.8770057361312,20.0941194587603,41.495694269222
"24",1.2,3.14854973273049e-54,6.31214861869416e-48,98.1991910203734,50.6760983125044,96.0094072055955
"25",1.3,3.20556051224173e-109,3.62773252747677e-109,219.107382826601,116.352453291302,219.107382826601
"26",1.4,5.47585017357811e-195,6.1846545700927e-195,410.15524434555,215.8232124286,410.15524434555
"27",1.5,6.65295745130112e-210,9.47091469213688e-210,451.296716822762,238.228591306864,451.296716822762
"28",1.6,0,0,941.501157284879,494.309001887302,922.579841889252
"29",1.7,0,0,968.51173906876,512.767585397766,968.51173906876
"30",1.8,0,0,1206.20903682448,631.895019863018,1181.10202280795
"31",1.9,0,0,1487.16167002315,787.407368033832,1487.16167002315
"32",2,0,0,1784.98528896123,942.181835954513,1784.98528896123
